model,experiment,accuracy,uncertainty,accuracy_revised,answer_pred_revised,ifhr,temperature,task,model_type
llama3,en_en,0.6068010254949437,0.3500705042329164,0.6068010254949437,0.3500705042329164,6.4093433983763e-05,1.0,MMLU,Base
qwen15,en_en,0.0,1.5401998155557688,0.21613730237857856,1.3917298848631634,0.7924084888192565,1.0,MMLU,Base
qwen25,en_en,0.0,1.3853353829665411,0.36808146987608603,1.2255957457985864,0.4467454778521578,1.0,MMLU,Base
otg,en_en,0.0,0.5613567444093657,0.5876442102264635,0.5481669982670809,0.13709585529126905,1.0,MMLU,CPT
sailor,en_en,5.6971941318900445e-05,1.1759675402147622,0.39067796610169486,0.9992518367691167,0.28817832217632816,1.0,MMLU,CPT
typhoon15,en_en,0.5580615296966245,0.5594919551551805,0.5631035465033472,0.5416215818194868,0.00903005269904572,1.0,MMLU,CPT
gemma2,en_en,0.13642643498077198,0.3587188531369632,0.1378293690357499,0.3417396423587189,0.8315553339980061,1.0,MMLU,MLLM
llama31,en_en,0.580152399943028,0.5331712989395035,0.5801666429283577,0.5331167313255134,0.00010682238997293833,1.0,MMLU,MLLM
llama3,en_en,0.4478559176672385,0.5087795949166679,0.4478559176672385,0.5087795949166679,0.0005145797598627787,1.0,ThaiExam,Base
llama3,en_th,0.3910806174957118,0.6645705209294144,0.3910806174957118,0.6645705209294144,0.0,1.0,ThaiExam,Base
llama3,th_en,0.45248713550600345,0.435406656940325,0.45248713550600345,0.435406656940325,0.002401372212692967,1.0,ThaiExam,Base
llama3,th_th,0.4039451114922813,0.5464190073283444,0.4039451114922813,0.5464190073283444,0.0,1.0,ThaiExam,Base
qwen15,en_en,0.0,2.207584969157079,0.22727272727272727,1.2750817326075028,0.9924528301886792,1.0,ThaiExam,Base
qwen15,en_th,0.0,2.1553242945457005,0.0967409948542024,1.8363958724825962,0.9993138936535163,1.0,ThaiExam,Base
qwen15,th_en,0.0,2.295272000863492,0.10617495711835334,2.0115516954805406,0.9984562607204117,1.0,ThaiExam,Base
qwen15,th_th,0.0,2.193856745286755,0.09056603773584906,1.9628758239809996,0.9984562607204117,1.0,ThaiExam,Base
qwen25,en_en,0.0,2.074134204233975,0.29777015437392795,1.2241304645402693,0.7295025728987994,1.0,ThaiExam,Base
qwen25,en_th,0.0,2.229385507626982,0.14871355060034305,1.7626545725848441,0.9099485420240138,1.0,ThaiExam,Base
qwen25,th_en,0.0,2.27249814791998,0.2025728987993139,1.80566184664157,0.9571183533447685,1.0,ThaiExam,Base
qwen25,th_th,0.0,2.2213360015627828,0.16054888507718698,1.8863398571544454,0.958319039451115,1.0,ThaiExam,Base
otg,en_en,0.0,1.8900833765488634,0.41286449399656944,0.6531018100414977,1.0,1.0,ThaiExam,CPT
otg,en_th,0.0,2.082946761283798,0.3915951972555746,0.8967941065965868,1.0,1.0,ThaiExam,CPT
otg,th_en,0.0,2.083747315025781,0.40531732418524874,0.973168626452387,1.0,1.0,ThaiExam,CPT
otg,th_th,0.0,2.087216658861992,0.4181818181818182,0.9462604795448918,1.0,1.0,ThaiExam,CPT
sailor,en_en,0.0029159519725557464,2.0823155171784515,0.2260720411663808,1.2360366402537852,0.990909090909091,1.0,ThaiExam,CPT
sailor,en_th,0.006689536878216124,1.9662543150145433,0.26706689536878214,1.2204914704207448,0.9802744425385935,1.0,ThaiExam,CPT
sailor,th_en,0.006689536878216124,2.0930226959839793,0.25677530017152655,1.1749772185924248,0.9807890222984562,1.0,ThaiExam,CPT
sailor,th_th,0.008576329331046312,1.9339791484685376,0.2540308747855918,1.2888693429424036,0.9790737564322469,1.0,ThaiExam,CPT
typhoon15,en_en,0.40102915951972556,0.8063247071485897,0.4039451114922813,0.790461922470452,0.010463121783876502,1.0,ThaiExam,CPT
typhoon15,en_th,0.3797598627787307,0.8930367199006836,0.38130360205831904,0.8861539371676356,0.004802744425385935,1.0,ThaiExam,CPT
typhoon15,th_en,0.41682242990654206,0.792046511798314,0.4170093457943925,0.7894219129232508,0.002616822429906542,1.0,ThaiExam,CPT
