question,ID,en_question,similarity
ข้อใดกล่าวไม่ถูกต้องเกี่ยวกับแสง,a_level_001,Which of the following statements is incorrect about light?,0.9157572
ข้อใดกล่าวถึงสิทธานุมัติทางสังคมได้ถูกต้อง,a_level_002,Which of the following correctly describes social approval rights?,0.61969054
ข้อใดต่อไปนี้เป็นการแสดงออกถึงอุณหภูมิอากาศในแง่ของความเร็วของคลื่นเสียง,a_level_003,Which of the following expresses air temperature in terms of the speed of sound?,0.8620039
ประโยคใดมีเจตนาต่างกับคำอื่น,a_level_004,Which sentence has a different intention from the others?,0.8612683
ข้อใดเป็นการพิจารณาโดยใช้คำพูดอุปมัย,a_level_005,Which of the following is a consideration using metaphorical language?,0.67311275
คำในข้อใดต่อไปนี้สะกดถูกต้องทุกคำ,a_level_006,Which of the following words are all spelled correctly?,0.75825155
ข้อใดใช้คำไม่ถูกต้องตามความหมาย,a_level_007,Which of the following uses words incorrectly according to their meanings?,0.84771585
ข้อใดเป็นประโยคกำกวม,a_level_008,Which of the following is an ambiguous sentence?,0.5720264
ข้อใดไม่ใช่ประโยค,a_level_009,Which one is not a sentence?,0.8089603
ข้อใดมีระดับภาษาต่างจากข้ออื่น,a_level_010,Which option has a different language level from the others?,0.8125268
เด็กชำยนครินทร์บอกครอบครัวว่า ช่วงปิดเทอมจะเรียนว่ายน้ำและเรียนดนตรี เพื่อเพิ่มพูนประสบกิจกรรมแต่สุดท้ายก็เล่นเกมตลอดปิดเทอมไม่ทำตามที่พูดไว้ พฤติกรรมของเด็กชำยนครินทร์สอดคล้องกับข้อใด,a_level_011,"The child, Chamyanakarin, told his family that during the school break he would take swimming and music lessons to enhance his activities, but in the end, he played games throughout the break and did not follow through with what he said. Which behavior does Chamyanakarin's behavior correspond to?",0.7756963
ข้อใดไม่มีการใช้คำที่มีความหมายอุปมา,a_level_012,Which of the following does not use metaphorical language?,0.66715634
ข้อใดเขียนไม่ถูกต้องตามหลักการทับศัพท์ภาษาอังกฤษทุกคำ,a_level_013,Which of the following is not correctly written according to the principles of English transliteration?,0.72062206
"ความใดต่อไปนี้เป็นส่วนหนึ่งของเรื่อง ""ทรัพยากรธรรมชาติ""",a_level_014,"Which of the following is a part of the topic ""Natural Resources""?",0.80570614
ข้อใดเป็นการอุปมัยจากเหตุไปผล,a_level_015,Which of the following is an analogy from cause to effect?,0.6625342
ข้อใดเป็นการอนุมัติด้วยวิธีนิรนัย,a_level_016,Which of the following is an approval by deductive method?,0.6969195
ข้อใดแสดงมารยาทที่ดีในการโต้แย้ง,a_level_017,Which of the following demonstrates good manners in a debate?,0.85951066
คนไทยส่วนใหญ่เกือบร้อยเปอร์เซ็นต์ล้วนนับถือศาสนาพุทธ วัดพุทธก็มีอยู่ทั่วทั้งประเทศ นับจะถึงหลักหมื่น ดังนั้นก็ควรจะยกให้พระพุทธศาสนาเป็นศาสนาประจำชาติของไทย ข้อความข้องต้นแสดงจุดอ่อนของการแสดงทรรศนะในด้านใด,a_level_018,"Almost one hundred percent of Thai people are Buddhists, and there are Buddhist temples all over the country, numbering in the tens of thousands. Therefore, Buddhism should be designated as the national religion of Thailand. The above statement shows a weakness in expressing an opinion in which aspect?",0.7250935
ข้อใดไม่มีการโน้มน้ำใจ,a_level_019,Which of the following does not involve persuasion?,0.59059066
“บุหรี่ตัวร้าย ทำลายหัวใจ” ใช้กลวิธีการโน้มน้ำใจในข้อใด,a_level_020,"""‘บุหรี่ตัวร้าย ทำลายหัวใจ’ uses which persuasive technique?""",0.77481556
"เก๋ากี่ มีชื่อภาษาอังกฤษว่า ""Chinese Wolfberry"" และบางครั้งถูกเรียกในภาษาไทยว่า ""โกจิเบอร์รี่"" (Goji Berry) อยู่ในกลุ่มผลไม้ชนิดหนึ่งในตระกูลเบอร์รี่ มีรสหวาน มีฤทธิ์เป็นกลาง ไม่ร้อน ไม่เย็นมาก และไม่มีพิษ แพทย์จีนใช้เก๋ากี่เป็นยามานานกว่า 2,000 ปี สรรพคุณของเก๋ากี่มีหลายอย่าง รวมถึงช่วยบำรุงเลือด ตับ ไต หัวใจ ปอด และระบบประสาท ช่วยบำรุงสายตา ลดความเสี่ยงของโรคตับอ่อน ช่วยป้องกันและผู้ป่วยโรคเบาหวานในตำรายจีนมีข้อมูลว่าเก๋ากี่ช่วยบำรุงระบบศีรษะและระบบการทำงานของเพศชายได้ดี รักษาความอ่อนแอของอกและการรับมือกับความเครียด นอกจากนี้ แพทย์จีนส่วนใหญ่นิยมใช้เก๋ากี่ในบรรเทาและรักษาอาการผู้ป่วยเบาหวานในตำรายจีนยังมีข้อมูลว่าเก๋ากี่ช่วยบำรุงระบบหัวใจ ปอด ตับ และไต ข้อใดไม่ใช่ประโยชน์ของเก๋ากี่",a_level_021,"English: The Chinese Wolfberry, sometimes referred to in Thai as ""Goji Berry,"" is a type of fruit in the berry family. It has a sweet taste, a neutral effect, neither too hot nor too cold, and is non-toxic. Chinese medicine has used the Chinese Wolfberry for over 2,000 years. Its benefits include nourishing the blood, liver, kidneys, heart, lungs, and nervous system, improving eyesight, reducing the risk of pancreatic diseases, and preventing and treating diabetes. According to Chinese medical texts, the Chinese Wolfberry also helps nourish the head system and male reproductive functions, treats chest weakness, and helps manage stress. Additionally, most Chinese doctors use the Chinese Wolfberry to alleviate and treat diabetes symptoms. Chinese medical texts also state that the Chinese Wolfberry helps nourish the heart, lungs, liver, and kidneys. Which of the following is not a benefit of the Chinese Wolfberry?",0.81235594
"โรคฝีดำษลิง เป็นโรคติดเชื้อที่เกิดจากการติดเชื้อไวรัสในกลุ่มไวรัสพอกซ์ (Poxvirus) ซึ่งเป็นไวรัสในกลุ่มเดียวกับไวรัสที่ทำให้เกิดฝีดำษคนหรือไข้ทรพิษ โรคนี้ครั้งแรกพบในลิงที่ใช้เป็นสัตว์ทดลองในปี พ.ศ.2501 จึงเรียกว่า ""ฝีดำษลิง"" แต่ที่จริงแล้วสัตว์ที่เป็นระบาดโรคคือสัตว์ฟันแทะ เช่น หนู กระรอก กระแต และอื่นๆและพบการระบาดในคนครั้งแรกในปี พ.ศ. 2513 ปัจจุบันมีผู้ป่วยยืนยันมากกว่า 2,103 คน กระจายไปทั่วโลกโดยเฉพาะในประเทศกลุ่มเสี่ยงในทวีปอเมริกาเหนือและยุโรป ข้อใดต่อไปนี้ไม่ถูกต้อง",a_level_022,"Monkeypox is an infectious disease caused by a virus in the Poxvirus group, which is the same group of viruses that cause smallpox. This disease was first discovered in monkeys used as laboratory animals in 1958, hence the name ""monkeypox."" However, the primary carriers of the disease are actually rodents, such as rats, squirrels, and chipmunks, among others. The first human outbreak was recorded in 1970. Currently, there are more than 2,103 confirmed cases worldwide, particularly in high-risk countries in North America and Europe. Which of the following statements is incorrect?",0.68139696
